PSD,USRPLUS,PRO,UDMR,PNL,ALDE,PRODEMO,PMP,PSR,PSDI,PRU,UNPR,BUN,Tudoran,Simion,Costea
27629,25564,7386,4948,74620,4507,971,6891,497,495,558,697,223,950,1862,2639
29789,34862,7694,10287,66914,7873,825,9342,624,402,849,569,272,1138,1260,8279
78327,48673,26040,1537,61538,11271,1635,17827,1352,750,1555,1434,584,2505,3364,2326
69180,49170,15492,2988,67468,13174,1723,13431,1578,972,2059,1574,733,3755,3517,2027
46039,33366,11446,50046,89190,7444,897,5860,611,397,705,717,250,905,1426,9505
29921,18974,4804,4956,48358,6125,690,6406,500,382,430,365,212,709,884,2601
46195,15682,11940,934,41302,6472,1364,4919,842,581,964,888,320,2532,2214,2665
43133,82545,14206,12736,78476,10587,1699,12904,1244,911,1968,1709,812,3092,3458,4035
33324,16886,27625,723,26169,3579,1156,6224,677,406,814,921,268,1434,2263,878
60097,25843,19688,1158,39352,12020,1446,9335,979,636,977,924,495,1829,3735,1040
34546,12808,12400,959,36715,4210,947,6245,492,296,489,566,182,839,982,3187
33161,14507,6828,686,36115,4067,569,5059,704,422,570,656,267,1009,962,591
39474,119302,13590,36502,110944,10560,1602,15786,948,587,1870,1077,462,2201,3111,9444
58526,82501,22669,1933,82402,11596,1786,29595,1756,1071,2576,2462,1032,5354,5105,3180
4679,5699,1534,51818,6461,1195,150,1371,169,113,255,499,92,318,525,214
70359,33102,23205,1462,55219,5786,1675,12411,1016,678,1182,1316,452,1910,2084,2319
115520,48063,15203,1477,64682,14411,892,12670,1133,617,994,1579,342,1751,2092,1474
60286,43830,16398,1376,56409,11270,1446,15840,1213,886,1581,2144,611,3500,3973,2221
46905,13821,6643,746,25969,15606,459,4914,522,332,458,513,237,790,864,661
45216,15938,14137,938,32590,15994,1499,8480,682,407,1252,1292,155,912,933,943
4447,5006,1570,103365,5849,722,233,1140,167,115,196,251,117,327,413,268
53595,30707,13674,5259,48195,8523,1164,7591,895,648,1021,885,327,2020,2163,4528
29539,14400,8425,713,25609,4248,624,5647,676,336,553,682,257,989,1010,522
67243,88190,21508,2033,83947,11117,3185,19362,1664,1150,1869,3436,802,13008,5827,4037
39116,64112,11973,1056,68475,7993,1114,15692,823,606,1262,1842,667,2499,3413,1941
37365,37795,10280,9396,50087,5583,1133,17413,765,526,827,1644,305,1167,1161,2961
48819,9773,12389,554,26289,6716,571,4717,424,310,360,323,201,587,590,727
30063,38296,10085,75544,51221,5732,1152,8060,688,483,1220,1054,355,1330,1513,2161
56661,32474,14639,1681,53929,7094,1839,12197,1220,940,1495,1334,952,3613,2821,1964
80335,18988,10719,877,45263,9305,820,7729,796,485,671,1207,263,1006,1081,686
69177,75298,21754,2188,94543,21147,2040,25061,1889,1213,2358,2177,945,4057,5025,4625
18231,16017,7142,41933,29980,5685,478,3823,364,270,383,507,147,436,555,1373
16308,25432,4129,20202,24140,2803,470,2398,351,226,272,439,106,289,360,2441
22570,51239,6544,2853,98842,4836,882,7663,618,375,855,741,535,1233,1748,3121
64073,35465,16012,1485,83487,8582,1864,16518,1223,1033,1433,1291,748,4097,3090,6759
74358,13761,6543,671,41727,6981,662,6733,639,409,533,636,283,904,912,695
44438,105041,19306,7806,91567,10592,1642,20970,1248,808,1915,2794,693,2863,3351,9788
18930,16160,8679,733,23509,4126,678,6632,611,299,648,524,210,982,1185,692
41725,24783,7830,1304,36408,8287,970,6923,959,696,872,791,311,1957,1710,1351
45747,24047,10646,1038,46683,8252,780,8491,1211,533,872,881,230,1210,1345,820
42079,17466,7993,744,51393,4154,710,6511,670,465,628,818,304,1307,2281,766
154460,376069,63640,3417,145952,38113,5408,75318,3161,2486,6540,6537,2887,13407,18652,9790
24191,438987,25056,9790,319079,11653,3955,79071,4833,1807,7637,5918,2015,10404,32469,23127
